model,seed,date,portfolio,gross_return_decimal,turnover_one_way,cost_rate_bps_per_one_way_turnover,transaction_cost_decimal,net_return_decimal,gross_compounded_wealth,net_compounded_wealth
FinPFN,42,2022-12-02 09:30:00,short,0.007344280996673367,0.9024390243902434,2,0.00018048780487804869,0.007163793191795318,1.2567716388406167,1.2097436191417417
FinPFN,42,2022-12-05 09:30:00,short,-0.002606290072317833,0.8974358974358962,2,0.00017948717948717925,-0.0027857772518050123,1.2534961273951357,1.2063735428870204
FinPFN,42,2022-12-06 09:30:00,short,0.009539209516734688,0.8048780487804879,2,0.00016097560975609758,0.009378233906978591,1.2654534895827734,1.2176871961514053
FinPFN,42,2022-12-07 09:30:00,short,-0.007028392291013221,0.8571428571428571,2,0.00017142857142857143,-0.0071998208624417925,1.256559386031954,1.2089200664726263
FinPFN,42,2022-12-08 09:30:00,short,-0.007051196261768149,0.7380952380952384,2,0.00014761904761904766,-0.007198815309387196,1.2476991391864758,1.200217274190278
FinPFN,42,2022-12-09 09:30:00,short,0.002363156845353739,0.8095238095238095,2,0.0001619047619047619,0.0022012520834489772,1.2506476479481863,1.2028592549656807
FinPFN,42,2022-12-12 09:30:00,short,0.00300415274969272,0.8809523809523799,2,0.000176190476190476,0.002827962273502244,1.2544047845186665,1.2062608955590568
FinPFN,42,2022-12-13 09:30:00,short,0.000439215562723786,0.8205128205128196,2,0.00016410256410256393,0.00027511299862122206,1.2549557386219823,1.2065927536111536
FinPFN,42,2022-12-14 09:30:00,short,6.0755681317117e-05,0.7560975609756098,2,0.00015121951219512194,-9.046383087800495e-05,1.255031984312905,1.2064836006083524
FinPFN,42,2022-12-15 09:30:00,short,-0.000450156047453866,0.9024390243902434,2,0.00018048780487804869,-0.0006306438523319146,1.2544670240754185,1.2057227391426895
FinPFN,42,2022-12-16 09:30:00,short,0.0025020527365039306,0.8048780487804876,2,0.00016097560975609753,0.002341077126747833,1.2576057667258602,1.208545429068496
FinPFN,42,2022-12-19 09:30:00,short,0.004440405816371904,0.8333333333333335,2,0.0001666666666666667,0.004273739149705237,1.2631900466871324,1.2137104369829033
FinPFN,42,2022-12-20 09:30:00,short,0.0042659453992097245,0.8571428571428562,2,0.00017142857142857124,0.004094516827781153,1.268578746455125,1.2186799947911833
FinPFN,42,2022-12-21 09:30:00,short,-0.001998381772626327,0.7999999999999992,2,0.00015999999999999982,-0.002158381772626327,1.2660436418110679,1.2160496181037617
FinPFN,42,2022-12-22 09:30:00,short,0.000558101643981099,0.8499999999999991,2,0.00016999999999999982,0.0003881016439810992,1.2667502228489145,1.2165215689597102
FinPFN,42,2022-12-23 09:30:00,short,0.000919932845137453,0.8292682926829266,2,0.0001658536585365853,0.0007540791866008677,1.2679155479854984,1.2174389225549138
FinPFN,42,2022-12-26 09:30:00,short,0.008158061402461695,0.8571428571428569,2,0.00017142857142857137,0.007986632831033125,1.2782592808791,1.2271621602235685
FinPFN,42,2022-12-27 09:30:00,short,0.002807596493018179,0.9285714285714274,2,0.00018571428571428547,0.0026218822073038935,1.281848117153264,1.2303796348569351
FinPFN,42,2022-12-28 09:30:00,short,-0.003510276389059835,0.8999999999999988,2,0.00017999999999999977,-0.0036902763890598344,1.27734847597326,1.2258391939408426
FinPFN,42,2022-12-29 09:30:00,short,0.002750746992245516,0.9249999999999988,2,0.00018499999999999975,0.002565746992245516,1.2808621384515928,1.228984387165673
FinPFN,42,2022-12-30 09:30:00,short,0.002991029159181563,0.8809523809523799,2,0.000176190476190476,0.002814838682991087,1.2846932344565931,1.232443779959459
FinPFN,42,2023-01-03 09:30:00,short,-0.0027302195518727128,0.9523809523809523,2,0.00019047619047619045,-0.0029206957423489033,1.281185739869721,1.228844186658647
FinPFN,42,2023-01-04 09:30:00,short,0.000690212137372076,0.8048780487804876,2,0.00016097560975609753,0.0005292365276159785,1.282070029817607,1.2294945358889753
FinPFN,42,2023-01-05 09:30:00,short,0.0030405043810318947,0.9024390243902436,2,0.0001804878048780487,0.002860016576153846,1.2859681693600573,1.2330109106419083
